Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0035,"Hill 'n' Dale Sales Agency, Agent ","","Bonding Time","","B",Colt,"Bonding Time","Kitten's Joy","Imagistic","","","","","Godolphin Japan",210000
1,0036,"Eaton Sales, Agent for William D. Graham (Windhaven Farms)","","Defeatsnotanoption","","DB/BR",Colt,"Defeatsnotanoption","Honor Code","I'm Breathtaking","","","","","Mike Ryan, Agent",400000
1,0037,"Taylor Made Sales Agency, Agent For Stonestreet Bred & Raised","","Charming Lady","","DB/BR",Filly,"Charming Lady","Ghostzapper","I'm Mom's Favorite","","","","","Out",0
1,0038,"Eaton Sales, Agent ","","Into Fancy","","GR/RO",Filly,"Into Fancy","Into Mischief","I'm So Fancy","","","","","Tom McCrocklin, Agent",100000
1,0039,"Taylor Made Sales Agency, Agent XXXVIII ","","Liam's Legend","","GR/RO",Colt,"Liam's Legend","Liam's Map","Indian Legend","","","","","Pebble Farm",180000
1,0040,"Burleson Farms, Agent ","","Ghost Game","","B",Colt,"Ghost Game","Ghostzapper","Indian Princess","","","","","Albaugh Family Stable, Kempton/Berkelhammer, Agent",325000
1,0041,"Paramount Sales, Agent For Pine Ridge Stables, Ltd. ","","Geum a Classy","","B",Colt,"Geum a Classy","Tiznow","Indian Rush","","","","","R.N.A. (190,000)",---
1,0042,"Mill Ridge Sales, Agent ","","Really Khan","","DB/BR",Colt,"Really Khan","Honor Code","Infanta (IRE)","","","","","Out",0
1,0043,"Hunter Valley Farm, Agent ","","Inis Gluaire","","DB/BR",Colt,"Inis Gluaire","Bernardini","Inish Glora","","","","","Scott & Evan Dilworth LLC",275000
1,0044,"Denali Stud (Craig & Holly Bandoroff), Agent for Stonestreet Bred & Raised","","Wolfpack","","B",Colt,"Wolfpack","Pioneerof the Nile","Inny Minnie","","","","","SF Bloodstock, LLC/Starlight West",950000
1,0045,"Four Star Sales, Agent ","","Freedom Quest","","B",Filly,"Freedom Quest","Pioneerof the Nile","Insearchofadream (IRE)","","","","","Out",0
1,0046,"Indian Creek, Agent ","","Eleanor Roosevelt","","B",Filly,"Eleanor Roosevelt","Liam's Map","Inspired by Grace","","","","","R.N.A. (185,000)",---
1,0047,"Paramount Sales, Agent LV ","","Clepat","","B",Filly,"Clepat","American Pharoah","Intelyhente","","","","","J.S. Company",310000
1,0048,"Mill Ridge Sales, Agent ","","Backroom","","DB/BR",Filly,"Backroom","Fed Biz","Intensify","","","","","Mike Ryan, Agent",250000
1,0049,"Eaton Sales, Agent for William D. Graham (Windhaven Farms)","","Ghostzapper --- Intentional Cry","","CH",Filly,"","Ghostzapper","Intentional Cry","","","","","Out",0
1,0050,"Indian Creek, Agent ","","Feverdini","","B",Colt,"Feverdini","Bernardini","Intentional Fever","","","","","Triple Crown",50000
1,0051,"Lane's End, Agent ","","Market Analysis","","GR/RO",Colt,"Market Analysis","Honor Code","Interest Free","","","","","China Horse Club/Maverick Racing",250000
1,0052,"Betz Thoroughbreds, Inc., Agent ","","Man of Promise","","B",Colt,"Man of Promise","Into Mischief","Involved","","","","","Godolphin",170000
1,0053,"Scott Mallory, Agent VII ","","A Shin Amen Ra","","CH",Colt,"A Shin Amen Ra","American Pharoah","I O Ireland","","","","","K.K. Eishindo",325000
1,0054,"Warrendale Sales, Agent V ","","Honor Hop","","DB/BR",Filly,"Honor Hop","Honor Code","Island Hop","","","","","R.N.A. (60,000)",---
1,0055,"Lane's End, Agent ","","Harry Barows","","B",Colt,"Harry Barows","Uncle Mo","Isobel Baillie (GB)","","","","","R.N.A. (275,000)",---
1,0056,"Paramount Sales, Agent LXXXI ","","Can This Be It","","B",Colt,"Can This Be It","Bernardini","Issues","","","","","R.N.A. (200,000)",---
1,0057,"Mt. Brilliant Farm ","","Established","","B",Colt,"Established","Constitution","Ithinkisawapudycat","","","","","Twin Creeks Racing",400000
1,0058,"Columbiana Farm LLC, Agent III ","","Union Appreciation","","B",Colt,"Union Appreciation","Union Rags","I Thirtyfive","","","","","Taproot Bloodstock, LLC",50000
1,0059,"Equest Thoroughbreds, Inc. ","","Rocky Magic","","CH",Colt,"Rocky Magic","Declaration of War","It Must Be Magic","","","","","Out",0
1,0060,"Trackside Farm (Tom Evans), Agent for Trackside Farm and Tenlane Farm","","Humphrey","","GR/RO",Colt,"Humphrey","Liam's Map","It'schemistrybaby","","","","","Jeffrey Bloom, Agent",100000
1,0061,"Taylor Made Sales Agency, Agent CXXXIII ","","Whisky Man","","B",Colt,"Whisky Man","Into Mischief","It's True Love","","","","","Winchell Thoroughbreds LLC",500000
1,0062,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent V ","","Dashboard","","B",Colt,"Dashboard","City Zip","It Tiz","","","","","Burry Hill Farm",260000
1,0063,"Eaton Sales, Agent ","","America's Surprise","","DB/BR",Filly,"America's Surprise","American Pharoah","Ivanavinalot","","","","","Phoenix Thoroughbreds",325000
1,0064,"Mill Ridge Sales, Agent ","","Brimstone Hill","","CH",Filly,"Brimstone Hill","Candy Ride (ARG)","Jacaranda","","","","","R.N.A. (225,000)",---
1,0065,"Select Sales, Agent for Machmer Hall ","","Unbridled Tizzy","","B",Colt,"Unbridled Tizzy","Tiznow","Jazz Flute","","","","","Bradley Thoroughbreds LLC",80000
1,0066,"Hunter Valley Farm, Agent ","","Liraz","","B",Filly,"Liraz","American Pharoah","Jemima's Pearl","","","","","Out",0
1,0067,"Gainesway, Agent LIX ","","Ajhar","","GR/RO",Colt,"Ajhar","Tapit","Jojo Warrior","","","","","Shadwell Estate Company, Ltd.",800000
1,0068,"KatieRich Farms ","","Sweet Cocoa","","B",Filly,"Sweet Cocoa","Candy Ride (ARG)","Journey On","","","","","R.N.A. (160,000)",---
1,0069,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ","","Saqqara King","","GR/RO",Colt,"Saqqara King","American Pharoah","Joyful Victory","","","","","Godolphin",200000
1,0070,"Lane's End, Agent for Dixiana Farms, LLC ","","Lokoya Road","","B",Colt,"Lokoya Road","Quality Road","Julia Tuttle","","","","","R.N.A. (385,000)",---
1,0071,"Property of Beau Lane Bloodstock ","","Make Or Break","","CH",Filly,"Make Or Break","Flatter","Julie From Dixie","","","","","Courtlandt Farm",100000
1,0072,"Trackside Farm (Tom Evans), Agent X ","","Stop Making Sense","","B",Colt,"Stop Making Sense","Tiznow","Julie's Jewelry","","","","","R.N.A. (85,000)",---
1,0073,"Mill Ridge Sales, Agent ","","Duopoly","","CH",Filly,"Duopoly","Animal Kingdom","Justaroundmidnight(IRE)","","","","","Chilmark Bloodstock",160000
1,0074,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent XIII ","","Philly Special","","DB/BR",Filly,"Philly Special","Blame","Justasprinkle","","","","","F. Brothers, Agent for Starlight",300000
1,0075,"Gainesway, Agent VII ","","Quality Warrior","","B",Colt,"Quality Warrior","Quality Road","Just Parker","","","","","D. Wayne Lukas",200000
1,0076,"Clearsky Farms, Agent II ","","Enforceable","","GR/RO",Colt,"Enforceable","Tapit","Justwhistledixie","","","","","Justin Casse, Agent",800000
1,0077,"St. George Sales, Agent XXXIX ","","Convincingly","","B",Filly,"Convincingly","Declaration of War","Kaloura (IRE)","","","","","Bobby Flay Thoroughbreds/James Delahooke, Agent",200000
1,0078,"Blake-Albina Thoroughbred Services LLC, Agent II ","","Hedonistic","","B",Colt,"Hedonistic","Tiznow","Kateri","","","","","R.N.A. (275,000)",---
1,0079,"St. George Sales, Agent III ","","Mountain Lane","","B",Colt,"Mountain Lane","Into Mischief","Katherine'skadence","","","","","Godolphin",875000
1,0080,"Warrendale Sales, Agent IX ","","Barbaroni","","B",Colt,"Barbaroni","Super Saver","Katori","","","","","R.N.A. (145,000)",---
1,0081,"Eaton Sales, Agent for Stonestreet Bred & Raised ","","Malahini","","DB/BR",Colt,"Malahini","Curlin","Kauai Katie","","","","","E 5 Racing/Mike Ryan, Agent",825000
1,0082,"Denali Stud (Craig & Holly Bandoroff), Agent X ","","Frontana","","DB/BR",Colt,"Frontana","War Front","Keertana","","","","","Out",0
1,0083,"Scott Mallory, Agent IV ","","Sengekontacket","","DB/BR",Filly,"Sengekontacket","Mineshaft","Kelly Pond","","","","","R.N.A. (45,000)",---
1,0084,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for R. S. Evans","","Veteran","","B",Colt,"Veteran","Quality Road","Kenny Lane","","","","","Fox Hill Farm",190000
1,0085,"Taylor Made Sales Agency, Agent CXIII ","","Siamese","","B",Filly,"Siamese","Kitten's Joy","Keri Keri","","","","","Willie Browne",65000
1,0086,"St. George Sales, Agent XIX ","","High Velocity","","B",Colt,"High Velocity","Quality Road","Ketel Twist","","","","","Ben Glass, Agent",350000
1,0087,"Sequel New York, Agent for Chester & Mary Broman ","","Homeland","","CH",Colt,"Homeland","American Pharoah","Khancord Kid","","","","","Cromwell Bloodstock",500000
1,0088,"Sequel New York, Agent for Chester & Mary Broman ","","Not Phar Now","","B",Colt,"Not Phar Now","American Pharoah","Kibosh","","","","","R.N.A. (185,000)",---
1,0089,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent II ","","Klatter","","DB/BR",Colt,"Klatter","Flatter","Kids Kooler","","","","","F. Brothers, Agent for Starlight",200000
1,0090,"Bluewater Sales LLC, Agent XIV ","","Cleveland Simpson","","B",Colt,"Cleveland Simpson","Hard Spun","Kimallosa","","","","","Out",0
1,0091,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Allah Maak","","CH",Colt,"Allah Maak","American Pharoah","Kindle","","","","","Godolphin",2200000
1,0092,"Paramount Sales, Agent LXXXVI ","","Life On Top","","CH",Colt,"Life On Top","Carpe Diem","Kissed by a Star","","","","","Centennial Farms",250000
1,0093,"Hermitage Farm, Agent ","","Blood Runner","","DB/BR",Colt,"Blood Runner","Honor Code","Kiss the Devil","","","","","Calumet Farm",250000
1,0094,"Brereton C. Jones/Airdrie Stud Inc., Agent ","","Liam's Point","","B",Colt,"Liam's Point","Liam's Map","Kittery Point","","","","","R.N.A. (185,000)",---
1,0095,"Stone Farm, Agent ","","Cask","","B",Colt,"Cask","Union Rags","Kitty Wine","","","","","Out",0
1,0096,"Mill Ridge Sales, Agent ","","Spectacularsunrise","","DB/BR",Filly,"Spectacularsunrise","More Than Ready","Knit One Purr Too","","","","","Hades Bloodstock, LLC",150000
1,0097,"Taylor Made Sales Agency, Agent CXLI ","","Skye Snow","","B",Filly,"Skye Snow","Lemon Drop Kid","Knysna","","","","","Phoenix Thoroughbreds",250000
1,0098,"Woodford Thoroughbreds, Agent ","","Go for Mo","","B",Filly,"Go for Mo","Uncle Mo","Kokadrie","","","","","Out",0
1,0099,"Gainesway, Agent LXV ","","Brother Reid","","B",Colt,"Brother Reid","Empire Maker","La Cloche","","","","","R.N.A. (145,000)",---
1,0100,"Castle Park Farm LLC (Noel Murphy), Agent II ","","Dynasty of Her Own","","DB/BR",Filly,"Dynasty of Her Own","Shanghai Bobby","Lady Dynasty","","","","","Tommy Town Thoroughbreds",70000
1,0101,"James B. Keogh (Grovendale), Agent XXX ","","Pioneer Woman","","B",Filly,"Pioneer Woman","Pioneerof the Nile","Lady June Bug","","","","","Jerry Hollendorfer",170000
1,0102,"Clearsky Farms, Agent I ","","Moonhak Empire","","B",Colt,"Moonhak Empire","Empire Maker","Lady Lumberjack","","","","","R.N.A. (245,000)",---
1,0103,"Vinery Sales, Agent XLVII ","","Wolfhand","","CH",Colt,"Wolfhand","Candy Ride (ARG)","Lady Marta","","","","","R.N.A. (200,000)",---
1,0104,"Hunter Valley Farm, Agent ","","Wealth","","DB/BR",Colt,"Wealth","More Than Ready","Lady of Substance","","","","","Thomas Haughey for PTK LLC",150000
1,0105,"Four Star Sales, Agent ","","Galileo's Lady","","B",Filly,"Galileo's Lady","Galileo (IRE)","Lady Shakespeare","","","","","R.N.A. (625,000)",---
1,0106,"Havens Bloodstock Agency, Inc., Agent ","","Nucky","","DB/BR",Colt,"Nucky","Ghostzapper","Lady Ten","","","","","Rockingham Ranch",110000
1,0107,"Paramount Sales, Agent I ","","Joyous Times","","CH",Filly,"Joyous Times","Kitten's Joy","La Malaguena","","","","","Kenneth L. and Sarah K. Ramsey",30000
1,0108,"Scott Mallory, Agent VII ","","Stock Deal","","CH",Colt,"Stock Deal","Curlin","La Rocca","","","","","Robert C.Baker and William Mack",375000
1,0109,"Bluewater Sales LLC, Agent XXVII ","","Made to Measure","","DB/BR",Filly,"Made to Measure","Medaglia d'Oro","Last Full Measure","","","","","Out",0
1,0110,"Taylor Made Sales Agency, Agent CIX ","","Garfield","","CH",Colt,"Garfield","Hard Spun","Last Kitten","","","","","Hoby and Layna Kight",135000
1,0111,"Paramount Sales, Agent XVII ","","Mo Lauded","","B",Colt,"Mo Lauded","Uncle Mo","Lauded","","","","","J. J. Crupi, Agent",650000
1,0112,"Eaton Sales, Agent ","","This Won Will","","GR/RO",Colt,"This Won Will","Medaglia d'Oro","Laughing Lashes","","","","","Hartley/De Renzo Thoroughbreds",450000
1,0113,"Taylor Made Sales Agency, Agent XVIII ","","Rare Diamond","","GR/RO",Colt,"Rare Diamond","Uncle Mo","Lavender Baby","","","","","Michael McCarthy",250000
1,0114,"Warrendale Sales, Agent XXXI ","","Anaconda","","DB/BR",Colt,"Anaconda","Pioneerof the Nile","Lawn Party","","","","","Solis/Litt",150000
1,0115,"Select Sales, Agent for Machmer Hall ","","Sangseung Tap","","DB/BR",Colt,"Sangseung Tap","American Pharoah","Layreebelle","","","","","Out",0
1,0116,"Select Sales, Agent LXX ","","Divestiture","","DB/BR",Colt,"Divestiture","Pioneerof the Nile","Leah's Secret","","","","","Out",0
1,0117,"Havens Bloodstock Agency, Inc., Agent ","","Osage Treaty","","B",Filly,"Osage Treaty","Declaration of War","Legendary Peace","","","","","Clancy Bloodstock",170000
1,0118,"Warrendale Sales, Agent XVIII ","","First Rate","","GR/RO",Colt,"First Rate","Honor Code","Lemon Liqueur","","","","","Lynwood Stable",125000
1,0119,"Denali Stud (Craig & Holly Bandoroff), Agent XXXIV ","","Mo the Beholder","","B",Colt,"Mo the Beholder","Uncle Mo","Leslie's Harmony","","","","","Out",0
1,0120,"Clarkland Farm, LLC ","","Medaglia d'Oro --- Leslie's Lady","","B",Colt,"","Medaglia d'Oro","Leslie's Lady","","","","","R.N.A. (60,000)",---
1,0121,"Betz Thoroughbreds, Inc., Agent ","","Echo Town","","B",Colt,"Echo Town","Speightstown","Letgomyecho","","","","","L&N Racing",100000
1,0122,"Claiborne Farm, Agent ","","U S Army Corps","","B",Colt,"U S Army Corps","War Front","Let's Misbehave (IRE)","","","","","Out",0
1,0123,"Lakland Farm ","","Great Power","","B",Colt,"Great Power","Blame","Lifeinthefastlane","","","","","Ben McElroy, Agent",250000
1,0124,"Lane's End, Agent ","","Charmed Life","","B",Filly,"Charmed Life","Super Saver","Life Well Lived","","","","","Out",0
1,0125,"James B. Keogh (Grovendale), Agent IX ","","Sinui Yeolmae","","DB/BR",Colt,"Sinui Yeolmae","Tonalist","Lightning Lydia","","","","","Triple Crown",20000
1,0126,"Four Star Sales, Agent ","","First Grade Girl","","DB/BR",Filly,"First Grade Girl","American Pharoah","Light the City","","","","","R.N.A. (525,000)",---
1,0127,"Taylor Made Sales Agency, Agent CXLI ","","Yashima","","DB/BR",Colt,"Yashima","Distorted Humor","Like It Hot","","","","","R.N.A. (150,000)",---
1,0128,"Taylor Made Sales Agency, Agent CXLI ","","Dime a Dozen","","B",Filly,"Dime a Dozen","More Than Ready","Lilbourne Eliza (IRE)","","","","","Field Point Associates",250000
1,0129,"Gainesway, Agent VI ","","Wager","","GR/RO",Colt,"Wager","Tapit","Lindsay's Way","","","","","Out",0
1,0130,"Woodford Thoroughbreds, Agent XIII ","","Egyptian Goddess","","DB/BR",Filly,"Egyptian Goddess","Pioneerof the Nile","Lisa T.","","","","","Tommy Town Thoroughbreds",185000
1,0131,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent for Mr. and Mrs. Larry D. Williams","","Finding Fame","","B",Filly,"Finding Fame","Empire Maker","Lochinvar's Gold","","","","","Hugo Merry Bloodstock",425000
1,0132,"Glennwood Farm Inc., Agent ","","House Drunk","","DB/BR",Filly,"House Drunk","Carpe Diem","London Mist","","","","","R.N.A. (85,000)",---
1,0133,"Nardelli Sales, Agent I ","","Senor Totin","","DB/BR",Colt,"Senor Totin","Bodemeister","Looking","","","","","R.N.A. (45,000)",---
1,0134,"Brookdale Sales, Agent ","","Raahia","","CH",Filly,"Raahia","Candy Ride (ARG)","Lophorina (GB)","","","","","R.N.A. (120,000)",---
1,0135,"Gainesway, Agent II ","","Airstreem","","GR/RO",Colt,"Airstreem","Tapit","Lotta Kim","","","","","R.N.A. (375,000)",---
1,0136,"Lane's End, Agent ","","Quality Road --- Lough Derg","","B",Colt,"","Quality Road","Lough Derg","","","","","Cromwell Bloodstock",625000
1,0137,"Taylor Made Sales Agency, Agent VIII ","","McShady","","CH",Colt,"McShady","Will Take Charge","Louisiana Times","","","","","Sippican Partners",410000
1,0138,"Four Star Sales, Agent ","","Princesinha Julia","","DB/BR",Filly,"Princesinha Julia","Pioneerof the Nile","Love and Pride","","","","","R.N.A. (475,000)",---
1,0139,"Dromoland Farm Inc. (Gerry Dilger), Agent XVIII ","","Lovely Ghost","","CH",Colt,"Lovely Ghost","Ghostzapper","Lovely Daughter","","","","","Out",0
1,0140,"Lane's End, Agent ","","Prairie Wings","","CH",Filly,"Prairie Wings","Tapit","Love Me Only (IRE)","","","","","Shadwell Estate Company, Ltd.",800000
1,0141,"Bedouin Bloodstock, Agent XI ","","Fort McHenry","","GR/RO",Colt,"Fort McHenry","Tapit","Love the Chase","","","","","M. V.  Magnier",1100000
1,0142,"Gainesway, Agent XVI ","","Judge Johnny","","B",Colt,"Judge Johnny","Empire Maker","Lucas Street","","","","","R.N.A. (295,000)",---
1,0143,"Gainesway, Agent LIX ","","Sconset","","B",Filly,"Sconset","Tapit","Lucky Number","","","","","New River Equine",900000
1,0144,"Glennwood Farm Inc., Agent ","","Abeen","","CH",Colt,"Abeen","Curlin","Luna Vega","","","","","Shadwell Estate Company, Ltd.",450000
1,0145,"Hunter Valley Farm, Agent ","","Open Lengths","","DB/BR",Colt,"Open Lengths","Lea","Madame Pele","","","","","Jim & Susan Hill",255000
1,0146,"Penn Sales, Agent for Hanson and Gilbert ","","Beverly Park","","B",Colt,"Beverly Park","Munnings","Madeira Park","","","","","Thomas Haughey for PTK LLC",220000
1,0147,"Terrazas Thoroughbreds, Agent I ","","Tapalist","","DB/BR",Colt,"Tapalist","Tonalist","Magestic Stinger","","","","","Winchell Thoroughbreds LLC",275000
1,0148,"Gainesway, Agent XVII ","","Blue Sky Baby","","DB/BR",Filly,"Blue Sky Baby","Pioneerof the Nile","Maggie d'Oro","","","","","R.N.A. (290,000)",---
1,0149,"Taylor Made Sales Agency, Agent XCV ","","Ansaam","","DB/BR",Filly,"Ansaam","Bernardini","Maggie McGowan","","","","","Shadwell Estate Company, Ltd.",600000
1,0150,"Taylor Made Sales Agency, Agent CIX ","","Kitten's Joy --- Magicalcarpetride","","CH",Colt,"","Kitten's Joy","Magicalcarpetride","","","","","R.N.A. (140,000)",---
1,0151,"Hill 'n' Dale Sales Agency, Agent ","","Money Cometh","","DB/BR",Colt,"Money Cometh","Curlin","Magically","","","","","Hoby and Layna Kight",100000
1,0152,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ","","Magic Touch","","DB/BR",Filly,"Magic Touch","Empire Maker","Magical Mood (GB)","","","","","Out",0
1,0153,"Columbiana Farm LLC, Agent I ","","Victory Won","","B",Colt,"Victory Won","Declaration of War","Magical Victory","","","","","Phoenix Thoroughbreds",95000
1,0154,"Frankfort Park Farm, Agent ","","Steeltoe","","B",Colt,"Steeltoe","Mucho Macho Man","Mahaica Gap","","","","","Phoenix Thoroughbreds",190000
1,0155,"Eaton Sales, Agent ","","Malibu Heaven","","CH",Colt,"Malibu Heaven","Malibu Moon","Maid of Heaven","","","","","R.N.A. (45,000)",---
1,0156,"Denali Stud (Craig & Holly Bandoroff), Agent for Stonestreet Bred & Raised","","Ellie's Smile","","B",Filly,"Ellie's Smile","Tapit","Majestically","","","","","Bradley Thoroughbreds LLC",400000
1,0157,"Brereton C. Jones/Airdrie Stud Inc., Agent ","","Majestic Princess","","B",Filly,"Majestic Princess","Cairo Prince","Majestic Rosette","","","","","R.N.A. (150,000)",---
1,0158,"Paramount Sales, Agent LXXVII ","","Well Done West","","GR/RO",Colt,"Well Done West","Awesome Again","Malibu Breeze","","","","","Out",0
1,0159,"Eaton Sales, Agent ","","Suspiros","","B",Colt,"Suspiros","Hard Spun","Malibu Mint","","","","","Omega Farm, Agent",75000
1,0160,"Four Star Sales, Agent for Spendthrift Farm LLC ","","Daysan","","B",Colt,"Daysan","Temple City","Malibu Pier","","","","","Shadwell Estate Company, Ltd.",190000
1,0161,"James M. Herbener Jr., Agent I ","","Violator","","B",Colt,"Violator","Violence","Malibu Queen","","","","","Winchell Thoroughbreds LLC",185000
1,0162,"Dromoland Farm Inc. (Gerry Dilger), Agent XVIII ","","Okie Roughneck","","DB/BR",Colt,"Okie Roughneck","Orb","Mama Maxine","","","","","R.N.A. (190,000)",---
1,0163,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ","","Classy Ruler","","DB/BR",Filly,"Classy Ruler","Empire Maker","Mamma Kimbo","","","","","Mayberry Farm",700000
1,0164,"Select Sales, Agent for Machmer Hall et al., I ","","Karakontie (JPN) --- Manaahil","","CH",Colt,"","Karakontie (JPN)","Manaahil","","","","","R.N.A. (130,000)",---
