Sire,foal_count,total_sales,median_price,variance_sales,gini_coef,years_active,avg_price,foals_per_year
Mark Valeski,15,164800,3500.0,13132.558594504548,0.5789644012944984,5,10986.666666666666,3.0
Mastery,121,8292500,32000.0,88603.67598509458,0.5833629412219047,4,68533.05785123968,30.25
Maxfield,58,13439000,145000.0,229836.47952408294,0.4939394094901355,1,231706.89655172414,58.0
Maximum Security,31,1800500,35000.0,77895.23913288856,0.5361772267560087,2,58080.645161290326,15.5
Maximus Mischief,79,4083000,32000.0,44907.538714905146,0.44575687397886266,3,51683.54430379747,26.333333333333332
McCraken,14,284000,21000.0,15597.971127576282,0.39084507042253513,2,20285.714285714286,7.0
McKinzie,125,19721500,110000.0,169582.68874676045,0.48836528661612966,2,157772.0,62.5
Medaglia d'Oro,181,76433000,300000.0,375629.949624141,0.4436208276298463,7,422281.7679558011,25.857142857142858
Medal Count,11,231500,6000.0,39300.41637530991,0.6966424504221481,2,21045.454545454544,5.5
Mendelssohn,204,19605000,65000.0,113379.10681967845,0.5191545274064739,4,96102.94117647059,51.0
Micromanage,1,15000,15000.0,,0.0,1,15000.0,1.0
Midnight Lute,71,3416500,27000.0,58312.30357729786,0.5462142090064166,7,48119.718309859156,10.142857142857142
Midnight Storm,30,959000,19500.0,38086.773279585854,0.5388251651025373,4,31966.666666666668,7.5
Midshipman,88,4745800,37500.0,53282.979445988065,0.5127126760887138,7,53929.545454545456,12.571428571428571
Milwaukee Brew,1,2500,2500.0,,0.0,1,2500.0,1.0
Mineshaft,74,4211900,32000.0,65659.26023247743,0.5196836120053671,6,56917.56756756757,12.333333333333334
Mission Impazible,2,49000,24500.0,14849.242404917499,0.2142857142857142,1,24500.0,2.0
Mitole,119,10322500,60000.0,92912.54466273276,0.5033705029602056,3,86743.6974789916,39.666666666666664
Mizzen Mast,26,624500,11500.0,30936.541748951444,0.5686087331403584,5,24019.23076923077,5.2
Mo Town,73,3647500,25000.0,70643.33974106608,0.5596289445764128,4,49965.75342465754,18.25
Modernist,14,275700,16000.0,13947.61982924323,0.37460490180838385,1,19692.85714285714,14.0
Mohaymen,22,789000,20000.0,31005.8296431731,0.4346698928447978,3,35863.63636363636,7.333333333333333
Mor Spirit,22,796500,27500.0,28515.100047798023,0.4076642127489585,3,36204.545454545456,7.333333333333333
More Than Ready,211,30514000,100000.0,128056.94241631562,0.46325158182383536,7,144616.11374407582,30.142857142857142
Morning Line,9,73900,5000.0,7679.590556215293,0.4564727108705458,2,8211.111111111111,4.5
Mr Speaker,33,900000,18000.0,25314.919917995903,0.4727609427609428,4,27272.727272727272,8.25
Mr. Money,1,2000,2000.0,,0.0,1,2000.0,1.0
Mr. Sidney,1,1500,1500.0,,0.0,1,1500.0,1.0
Mshawish,38,888400,11250.0,26162.446347045225,0.5307412497926491,4,23378.947368421053,9.5
Mucho Macho Man,41,1328500,19000.0,41410.47867270359,0.5399267466517345,6,32402.439024390245,6.833333333333333
Munnings,301,43844400,110000.0,125594.6493788746,0.4370642832940689,7,145662.4584717608,43.0
