Sire,sale_year
Texas Ryano,2023
The Big Beast,2018
The Factor,2018
The Gurkha (IRE),2019
The Player,2022
Thousand Words,2023
Tiz the Law,2023
Tiznow,2018
Tizway,2018
To Honor and Serve,2018
Tom's Ready,2020
Tom's d'Etat,2023
Tonalist,2018
Too Much Bling,2019
Tourist,2019
Trappe Shot,2018
Treasure Beach (GB),2019
Tu Brutus (CHI),2021
Twirling Candy,2018
Uncaptured,2018
Uncle Chuck,2024
Uncle Mo,2018
Unified,2020
Union Jackson,2020
Union Rags,2018
Upstart,2019
Uptowncharlybrown,2019
Vancouver (AUS),2019
Vekoma,2023
Verrazano,2018
Vino Rosso,2022
Violence,2018
Volatile,2023
War Command,2018
War Correspondent,2020
War Dancer,2019
War Front,2018
War of Will,2023
Warrior's Reward,2018
We Miss Artie,2019
West Coast,2021
What Now,2022
Wheresthemoneyjack,2024
Wicked Strong,2018
Wildcat Red,2020
Will Take Charge,2018
Win Win Win,2023
Winslow Homer,2019
Without Parole (GB),2023
Wootton Bassett (GB),2021
World of Trouble,2022
Yaupon,2024
Yorkton,2023
Yoshida (JPN),2022
Zoffany (IRE),2018
