,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,filename,sale_year
1076,5,1077,"Claiborne Farm, Agent ",,Mylastfirstkiss,,CH,Filly,Mylastfirstkiss,Flatter,Maxinkuckee Miss,,,,,"Jeffrey Bloom, Agent",85000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1077,5,1078,"Hunter Valley Farm, Agent ",,Alfie Solomons,,CH,Colt,Alfie Solomons,Kantharos,Meets Expectations,,,,,T. Michael Morgan & Andrew Farm,285000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1078,5,1079,"Lane's End, Agent ",,Mister Candy Ride,,B,Colt,Mister Candy Ride,Candy Ride (ARG),Melody Dawn,,,,,"Kenneth McPeek, Agent for Harold Lerner",125000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1079,5,1080,"Hill 'n' Dale Sales Agency, Agent ",,Soccer Dad,,GR/RO,Colt,Soccer Dad,Bayern,Melody Lady,,,,,"Jayemess/Samantha Siegel/Brian Koriner, Agent",260000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1081,5,1082,"Nursery Place, Agent ",,All Eyes West,,B,Colt,All Eyes West,Street Sense,Minds Eyes,,,,,"Ben Glass, Agent",130000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1082,5,1083,"Taylor Made Sales Agency, Agent CLXXX ",,Mr. Shortandsimple,,B,Colt,Mr. Shortandsimple,Pioneerof the Nile,Minesave,,,,,"Sonny Stokes/Hoby Kight, Agent",175000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1083,5,1084,"Blackburn Farm (Michael T. Barnett), Agent ",,Explosive,,GR/RO,Colt,Explosive,Liam's Map,Miss A. Bomb,,,,,"Steven W. Young, Agent",200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1084,5,1085,"Summerfield (Francis & Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,Mumbai,,B,Filly,Mumbai,Street Sense,Missile Bay,,,,,"Don M. Robinson, Agent",125000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1085,5,1086,"Hunter Valley Farm, Agent ",,Our Guardian Angel,,B,Filly,Our Guardian Angel,Uncle Mo,Mississippi Queen,,,,,"Red Oak Farm, Inc.",115000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1089,5,1090,"Eaton Sales, Agent ",,Dovima,,CH,Filly,Dovima,Union Rags,Miss Utada,,,,,Quarter Pole Enterprises LLC,150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1090,5,1091,"Winter Quarter Farm, Agent II ",,Oktalgano,,B,Colt,Oktalgano,Street Sense,Model,,,,,Grove Stud,37000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1091,5,1092,"Gainesway, Agent XXXII ",,Carpe Diem --- Mons Venus,,CH,Colt,,Carpe Diem,Mons Venus,,,,,Phoenix Thoroughbreds,460000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1092,5,1093,"Hill 'n' Dale Sales Agency, Agent ",,Life Matters,,CH,Colt,Life Matters,Candy Ride (ARG),Moon Catcher,,,,,J B Bloodstock,25000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1093,5,1094,"Taylor Made Sales Agency, Agent CXLI ",,High Opinion,,DB/BR,Filly,High Opinion,Lemon Drop Kid,More Respect,,,,,Team D/Woodford Racing,130000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1094,5,1095,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent II ",,Magic Sam,,CH,Colt,Magic Sam,First Samurai,More Than Magic,,,,,"SF Bloodstock, LLC/Starlight West",210000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1096,5,1097,"Eaton Sales, Agent ",,Spanx Legacy,,B,Filly,Spanx Legacy,Animal Kingdom,My Spanx,,,,,JKD Farm,60000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1097,5,1098,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Silver Ratio,,GR/RO,Colt,Silver Ratio,Liam's Map,Mystic City,,,,,"Xavier International Bloodstock, Agent",320000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1099,5,1100,"Runnymede Farm, Inc., Agent ",,Positive Impact,,B,Colt,Positive Impact,Hard Spun,Mystra,,,,,Godolphin,350000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1100,5,1101,"Summerfield (Francis & Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,He's Super Lucky,,CH,Colt,He's Super Lucky,Super Saver,My Wandy's Girl,,,,,Reeves Thoroughbred Racing,375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1101,5,1102,"Claiborne Farm, Agent for Edward A. Cox, Jr. ",,Sapucaia,,B,Filly,Sapucaia,Ghostzapper,Native One,,,,,Black Swan Stable/John DeStefano,57000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1102,5,1103,"Eaton Sales, Agent ",,Happy Sonrisa,,DB/BR,Filly,Happy Sonrisa,Uncle Mo,Never Stop (IRE),,,,,"Lauren Carlisle, Agent",140000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1103,5,1104,"Pope McLean (Crestwood Farm), Agent II ",,Queen of Cause,,DB/BR,Filly,Queen of Cause,Creative Cause,Nitara,,,,,Big Oak Farms,2200.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1104,5,1105,"Legacy Bloodstock, Agent XXIII ",,Warfront Fighter,,B,Colt,Warfront Fighter,Shackleford,No Fighting,,,,,"Off the Hook, Agent I",50000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1105,5,1106,Sierra Farm ,,Shyza,,B,Filly,Shyza,Cairo Prince,November,,,,,Ed Bossinger,40000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1107,5,1108,"Denali Stud (Craig & Holly Bandoroff), Agent XVI ",,Wanderlust,,B,Filly,Wanderlust,Union Rags,Our Mariella,,,,,de Meric Sales,165000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1109,5,1110,"Lane's End, Agent ",,Epic West,,B,Colt,Epic West,Bernardini,Palacio de Amor,,,,,"Ben Glass, Agent",275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1110,5,1111,"Taylor Made Sales Agency, Agent CLXXIX ",,El Scorcho,,DB/BR,Filly,El Scorcho,Empire Maker,Palooza,,,,,Kings Equine,75000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1111,5,1112,"Summerfield (Francis & Barbara Vanlangendonck), Agent X ",,Tynan,,GR/RO,Filly,Tynan,Liam's Map,Pappascat,,,,,Thomas Haughey for PTK LLC,225000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1112,5,1113,"Denali Stud (Craig & Holly Bandoroff), Agent XXXIV ",,Exhort,,CH,Colt,Exhort,Will Take Charge,Paradise Alley,,,,,de Meric Sales,60000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1113,5,1114,"Hill 'n' Dale Sales Agency, Agent ",,Muskoka Storm,,B,Colt,Muskoka Storm,Violence,Parisia,,,,,Justin Casse for Conrad Farms,235000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1114,5,1115,"Select Sales, Agent LXVIII ",,Maine,,CH,Colt,Maine,American Pharoah,Parris Hill,,,,,"Becky Thomas, Agent",115000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1115,5,1116,"Summerfield (Francis & Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,Gamine,,B,Filly,Gamine,Into Mischief,Peggy Jane,,,,,Grand Oaks,220000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1117,5,1118,"Eaton Sales, Agent for Stonestreet Bred & Raised ",,Smart Colza,,CH,Filly,Smart Colza,Speightstown,Pianist,,,,,Toru Okawa,60000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1120,5,1121,"Select Sales, Agent for Coteau Grove Farms LLC ",,No Parole,,B,Colt,No Parole,Violence,Plus One,,,,,Maggi Moss,75000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1121,5,1122,"Eaton Sales, Agent ",,Connection,,DB/BR,Colt,Connection,Twirling Candy,Poplar Girl,,,,,Martin Anthony,260000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1122,5,1123,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Auberge,,B,Filly,Auberge,Palace,Prenuptial Vow,,,,,McCrary Cove Bloodstock,170000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1123,5,1124,"Buckland Sales (Zach Madden), Agent XI ",,Echo Winner,,B,Colt,Echo Winner,Into Mischief,Proclivity,,,,,Carlo Vaccarezza,25000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1124,5,1125,"Select Sales, Agent for Machmer Hall et al. XI ",,Carpe Eros,,CH,Colt,Carpe Eros,Carpe Diem,Pure Ride,,,,,Randy Eastburg,125000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1125,5,1126,"Taylor Made Sales Agency, Agent for Alastar Thoroughbred Company, LLC",,Lynnsmap,,DB/BR,Colt,Lynnsmap,Liam's Map,Puxa Saco,,,,,"Randy Bradshaw, Agent",270000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1126,5,1127,"Taylor Made Sales Agency, Agent LI ",,Morning Addiction,,B,Filly,Morning Addiction,Carpe Diem,Quay,,,,,Mayberry Farm,180000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1127,5,1128,"Taylor Made Sales Agency, Agent CXXXVI ",,Malibu Prince,,CH,Colt,Malibu Prince,Malibu Moon,Queen of Song,,,,,Mr. and Mrs. Harry Arslanian,35000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1128,5,1129,"Eaton Sales, Agent ",,Noble Empire,,B,Colt,Noble Empire,Empire Maker,Queens Full,,,,,"Hatch Farm / J. J. Crupi, Agent",80000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1130,5,1131,"Lane's End, Agent ",,Lady Anna,,B,Filly,Lady Anna,Into Mischief,Race Hunter,,,,,"Backstretch Farm, de Meric Stables Agent",150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1131,5,1132,"Denali Stud (Craig & Holly Bandoroff), Agent X ",,Stand Tall,,B,Filly,Stand Tall,Uncle Mo,Raise the Flag,,,,,"G. Watts Humphrey, Jr.",320000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1132,5,1133,"Taylor Made Sales Agency, Agent CXLI ",,Distinctive Nature,,DB/BR,Filly,Distinctive Nature,Quality Road,Rayella,,,,,"Mike Ryan, Agent",550000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1134,5,1135,"Hunter Valley Farm, Agent ",,Maybe an Omen,,B,Filly,Maybe an Omen,Verrazano,Reen,,,,,Grassroots Training & Sales,50000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1135,5,1136,"Eaton Sales, Agent ",,Precise,,B,Colt,Precise,Quality Road,Refining,,,,,Repole Stables & Eclipse Thoroughbred Partners,380000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1136,5,1137,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Elusive Ride,,DB/BR,Filly,Elusive Ride,Tiznow,Ride to Houston,,,,,Three Amigos,180000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1138,5,1139,"Gainesway, Agent VII ",,Accessible,,GR/RO,Colt,Accessible,Tapit,Riposte (GB),,,,,Gainesway,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1139,5,1140,"Denali Stud (Craig & Holly Bandoroff), Agent XLVII ",,Just Playing,,DB/BR,Filly,Just Playing,Pioneerof the Nile,Rockcide,,,,,"Justin Casse, Agent",250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1140,5,1141,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Roman d'Oro,,B,Filly,Roman d'Oro,Medaglia d'Oro,Roman Mistress,,,,,J B Bloodstock,80000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1141,5,1142,"Taylor Made Sales Agency, Agent CLXXX ",,Bite the Stars,,B,Filly,Bite the Stars,Flatter,Rosy Humor,,,,,"Crupi's New Castle/J. J. Crupi, Agent",200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1142,5,1143,"Lane's End, Agent ",,Miami Tesoro,,CH,Colt,Miami Tesoro,Speightstown,Run a Risk,,,,,Ryotokuji Kenji Holdings,160000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1143,5,1144,"Denali Stud (Craig & Holly Bandoroff), Agent XLIII ",,Absolute Unit,,DB/BR,Colt,Absolute Unit,Will Take Charge,Rutledge Ballado,,,,,Exline-Border Racing,150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1144,5,1145,"Gainesway, Agent VII ",,Mr Verracity,,DB/BR,Colt,Mr Verracity,Verrazano,Sailing Time,,,,,"Tom McCrocklin, Agent for Slugo/Paymaster",60000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1146,5,1147,"Hill 'n' Dale Sales Agency, Agent ",,Drew,,DB/BR,Colt,Drew,Bayern,Saoirse Cat,,,,,Chapman and Tsujimoto,5000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1147,5,1148,"Denali Stud (Craig & Holly Bandoroff), Agent XLIII ",,Hollywood Hoopla,,B,Filly,Hollywood Hoopla,Will Take Charge,Sapucai,,,,,"Robert G. Schaedle, III",150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1148,5,1149,"Gainesway, Agent VI ",,Anthropology,,CH,Filly,Anthropology,Karakontie (JPN),Sassifaction,,,,,Santa Escolastica,75000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1149,5,1150,"Claiborne Farm, Agent ",,Rose' to Blame,,B,Filly,Rose' to Blame,Blame,Satirical,,,,,"Larkin Armstrong, Agent",260000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1150,5,1151,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,Lorne,,B,Colt,Lorne,Pioneerof the Nile,Saturday Nite Ride,,,,,"Randy Bradshaw, Agent",300000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1152,5,1153,"Claiborne Farm, Agent ",,Emblem Secret,,CH,Colt,Emblem Secret,Flatter,Scanning,,,,,"Bruno DeBerdt, Agent",120000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1154,5,1155,"Select Sales, Agent for Machmer Hall ",,Fast Fionnuala,,GR/RO,Filly,Fast Fionnuala,Verrazano,Scene Maker,,,,,Ralph M. Evans,65000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1155,5,1156,"Eaton Sales, Agent ",,Siwa Star,,CH,Filly,Siwa Star,Kitten's Joy,Sea Bubble,,,,,"Chad Schumer, Agent",32000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1157,5,1158,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Feathered Indian,,DB/BR,Colt,Feathered Indian,Into Mischief,Sea Level Drive,,,,,"H. Hatch, Agent",285000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1158,5,1159,"Hunter Valley Farm, Agent ",,Mrs. S,,GR/RO,Filly,Mrs. S,Creative Cause,Sean S,,,,,Spearma Co.,230000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1159,5,1160,"Darby Dan Farm, Agent XIV ",,Got It Made,,B,Filly,Got It Made,Uncle Mo,Seaside Escape,,,,,Field Point Associates,350000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1160,5,1161,"Lane's End, Agent ",,Basie,,B,Colt,Basie,Union Rags,Secret Ballot,,,,,White Birch Farm,475000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1162,5,1163,"Hunter Valley Farm, Agent ",,Ababil,,B,Colt,Ababil,Elusive Quality,Seeking Sheba,,,,,Royal Flush Racing,30000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1163,5,1164,"Gainesway, Agent XXI ",,Vanzzy,,B,Colt,Vanzzy,Verrazano,Selva,,,,,Randy Miles,7000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1164,5,1165,"Denali Stud (Craig & Holly Bandoroff), Agent V ",,Street Ready,,DB/BR,Colt,Street Ready,More Than Ready,Sense to Compete,,,,,"Charles H. Boden, Agent for Lucky Seven Stables",240000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1166,5,1167,"Gainesway, Agent VII ",,Ramaah,,DB/BR,Colt,Ramaah,Union Rags,She Be Keene,,,,,Sheikh Rashed Bin Humaid Al Nuaimi,130000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1167,5,1168,"Select Sales, Agent XXI ",,Shanghai Nights,,DB/BR,Colt,Shanghai Nights,Shanghai Bobby,She Shines,,,,,"Tom Amoss, Agent",55000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1168,5,1169,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent III ",,Templement,,DB/BR,Filly,Templement,Flatter,Shezsocool,,,,,Laura McIngvale,110000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1169,5,1170,"Darby Dan Farm, Agent XI ",,Busby Spring,,B,Filly,Busby Spring,Kitten's Joy,Shining Jewel,,,,,"Frankfort Park Farm, Agent",15000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1171,5,1172,"Select Sales, Agent for Machmer Hall I ",,Shoplifted,,B,Colt,Shoplifted,Into Mischief,Shopit,,,,,Zayat Stables,525000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1172,5,1173,"Gainesway, Agent XXXIV ",,Silent Fury,,CH,Colt,Silent Fury,Violence,Silent Emotion,,,,,"Jayemess/Brian Koriner, Agent",200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1175,5,1176,"Claiborne Farm, Agent ",,Reprobate,,B,Colt,Reprobate,Blame,Sky Garden (GB),,,,,"Shawn Dugan, Agent",230000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1176,5,1177,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Azul Coast,,B,Colt,Azul Coast,Super Saver,Sky Treasure,,,,,Three Amigos,320000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1177,5,1178,"Gainesway, Agent VI ",,Maker of an Empire,,B,Colt,Maker of an Empire,Empire Maker,Smart N Soft,,,,,"Justin Casse, Agent",410000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1178,5,1179,"Taylor Made Sales Agency, Agent CIX ",,S Socks,,CH,Filly,S Socks,Kitten's Joy,Smart Trade,,,,,Three Diamonds Farm,27000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1179,5,1180,"Taylor Made Sales Agency, Agent for Siena Farm LLC ",,Something Super,,CH,Colt,Something Super,Super Saver,Somethinaboutbetty,,,,,Phoenix Thoroughbreds,325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1180,5,1181,"Gainesway, Agent LXIV ",,Smart Candy,,DB/BR,Filly,Smart Candy,Candy Ride (ARG),Somethinaboutlaura,,,,,Toru Okawa,22000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1181,5,1182,"Sue Vacek, Agent ",,Lili's Song,,GR/RO,Filly,Lili's Song,Liam's Map,Sonja's Angel,,,,,Bruno DeBerdt Agent for Khalid Mishref,190000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1183,5,1184,"Lane's End, Agent ",,Malibu Anthem,,B,Filly,Malibu Anthem,Malibu Moon,Spangled Banner,,,,,Candy Meadows LLC,70000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1184,5,1185,"Taylor Made Sales Agency, Agent for Alastar Thoroughbred Company, LLC",,Turnagain Tide,,B,Colt,Turnagain Tide,Into Mischief,Spanish Empiress,,,,,Oxo Equine LLC,750000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1185,5,1186,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Center Aisle,,B,Filly,Center Aisle,Into Mischief,Specification,,,,,"Tom McCrocklin, Agent for Slugo/Paymaster Racing",450000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1187,5,1188,"Select Sales, Agent XX ",,Wicked Spirit,,GR/RO,Filly,Wicked Spirit,Wicked Strong,Spirit of Ecstasy,,,,,"Steve R. Schwartz, Agent",50000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1188,5,1189,"Taylor Made Sales Agency, Agent XCI ",,Figure of Speech,,B,Filly,Figure of Speech,Into Mischief,Starlight Lady,,,,,Dillon House Partners,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1189,5,1190,"Gainesway, Agent VI ",,Policy Option,,B,Colt,Policy Option,Empire Maker,Starlight Tiara,,,,,Prospect Hill Ventures,240000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1190,5,1191,"Hunter Valley Farm, Agent ",,Midnight Jostar,,DB/BR,Colt,Midnight Jostar,Midnight Lute,Star of Johar,,,,,Jim & Susan Hill,175000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1191,5,1192,"Baccari Bloodstock, Agent XX ",,Strength of Gold,,B,Colt,Strength of Gold,Goldencents,Stellar Strength,,,,,"Steve R. Schwartz, Agent",100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1193,5,1194,"Hunter Valley Farm, Agent ",,Hebat,,DB/BR,Filly,Hebat,Tiznow,Stomping,,,,,Bruno DeBerdt Agent for Khalid Mishref,175000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1194,5,1195,"Gainesway, Agent for Stonestreet Bred & Raised ",,Blood Moon,,CH,Colt,Blood Moon,Malibu Moon,Stormy Gigi,,,,,"SF Bloodstock, LLC/Starlight West",450000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1196,5,1197,"Claiborne Farm, Agent ",,Easy Tiger,,B,Filly,Easy Tiger,Blame,Streaker,,,,,"Kempton Bloodstock, Agent",375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1198,5,1199,"Bedouin Bloodstock, Agent VIII ",,Strike Magic,,B,Filly,Strike Magic,Into Mischief,Striking Kathy,,,,,Lee Lewis,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1200,5,1201,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent VIII ",,Lemon Roses,,B,Filly,Lemon Roses,Lemon Drop Kid,Superb in Roses,,,,,Two Tall Pines,3000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1203,5,1204,"Hill 'n' Dale Sales Agency, Agent ",,Swanky Knight,,B,Colt,Swanky Knight,Street Sense,Swanky Bubbles,,,,,Justin Casse for Conrad Farms,360000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1204,5,1205,"Denali Stud (Craig & Holly Bandoroff), Agent IX ",,Contraflow,,GR/RO,Colt,Contraflow,Street Sense,Swap Fliparoo,,,,,Phoenix Thoroughbreds,90000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1205,5,1206,"Lane's End, Agent for Wygod Equine LLC ",,Palm Springs,,B,Colt,Palm Springs,Uncle Mo,Sweet Bliss,,,,,China Horse Club/Maverick Racing,1000000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1206,5,1207,"Gainesway, Agent XXV ",,Alpha Dog,,DB/BR,Colt,Alpha Dog,More Than Ready,Sweet Corine,,,,,BBN Racing,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1207,5,1208,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Honor Among Men,,DB/BR,Colt,Honor Among Men,Bayern,Sweet Destiny,,,,,Ben McElroy / SAC Racing,435000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1208,5,1209,"Lane's End, Agent ",,Say Moi,,CH,Filly,Say Moi,Union Rags,Sweet Nanette,,,,,Bach Stables,300000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1209,5,1210,"Denali Stud (Craig & Holly Bandoroff), Agent VI ",,Dolci,,B,Filly,Dolci,Quality Road,Sweet Sugaree,,,,,Eclipse Thoroughbred Partners,195000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1210,5,1211,"Bluewater Sales LLC, Agent XVII ",,A Girl Like Me,,B,Filly,A Girl Like Me,Honor Code,Table Three Ten,,,,,Travis Murphy,25000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1211,5,1212,"Hunter Valley Farm, Agent ",,Hard Code,,B,Colt,Hard Code,Honor Code,Take Charge,,,,,Chapman and Tsujimoto,5000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1212,5,1213,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Melanias Moon,,CH,Filly,Melanias Moon,Malibu Moon,Take Me Home Too,,,,,Margaret Fauber,45000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1213,5,1214,"Eaton Sales, Agent for Stonestreet Bred & Raised ",,The Kohen,,DB/BR,Colt,The Kohen,Street Sense,Tangere,,,,,Zayat Stables LLC,270000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1215,5,1216,"Buckland Sales (Zach Madden), Agent XL ",,Tapitly,,CH,Filly,Tapitly,American Pharoah,Tap of the Day,,,,,Hartley/De Renzo Thoroughbreds,280000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1216,5,1217,"Eaton Sales, Agent ",,Instafamous,,CH,Colt,Instafamous,City Zip,Tara Court,,,,,"Jeffrey Bloom, Agent",220000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1217,5,1218,"Summerfield (Francis & Barbara Vanlangendonck), Agent for Old Tavern Farm",,All I Need,,DB/BR,Filly,All I Need,Carpe Diem,Taste's Classylady,,,,,DCTM,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1220,5,1221,"Lane's End, Agent ",,Ever So Special,,DB/BR,Filly,Ever So Special,Street Sense,Test of Time,,,,,Mayberry Farm,800000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1221,5,1222,"Select Sales, Agent LVIII ",,Candy Shopper,,DB/BR,Colt,Candy Shopper,Twirling Candy,The Classicshopper,,,,,"Tom McCrocklin, Agent for Slugo/Paymaster Racing",55000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1223,5,1224,"Select Sales, Agent XXXVII ",,Tartanic,,DB/BR,Colt,Tartanic,Verrazano,Thunderously,,,,,Jim McIngvale,60000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1225,5,1226,"Taylor Made Sales Agency, Agent for Siena Farm LLC ",,Investment Analyst,,DB/BR,Colt,Investment Analyst,Will Take Charge,Tizsotrue,,,,,Larsen Lane Bloodstock,485000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1227,5,1228,"Nursery Place, Agent ",,Wicked Amber,,B,Filly,Wicked Amber,Ghostzapper,Truly Enchanting (IRE),,,,,Fred M. Allor,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1228,5,1229,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent for Mr. and Mrs. Larry D. Williams",,Acceptable Risk,,B,Colt,Acceptable Risk,Blame,Trusty Temper,,,,,Berry Hill Stable LLC,190000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
1229,5,1230,"Runnymede Farm, Inc., Agent ",,Leatherneck,,B,Colt,Leatherneck,Congrats,Turtle River,,,,,"Philip Lebherz/Jeff Bonde, Agent",80000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
